"FilePath","FileName","CurrentVersion","CorrectVersion","IsStub","MissingFM","MissingContent","HasV21","HasV30","HasV31","HasV4","NeedsUpdate"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-001 - What Is Computer Science - A Map.md","CSF-001 - What Is Computer Science - A Map.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-002 - Why Programming Paradigms Exist.md","CSF-002 - Why Programming Paradigms Exist.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-003 - The History of Programming Languages.md","CSF-003 - The History of Programming Languages.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-004 - How Code Becomes Execution - Big Picture.md","CSF-004 - How Code Becomes Execution - Big Picture.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-005 - The CS Ecosystem Map (Languages, Runtimes, OS).md","CSF-005 - The CS Ecosystem Map (Languages, Runtimes, OS).md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-006 - Imperative Programming.md","CSF-006 - Imperative Programming.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-007 - Declarative Programming.md","CSF-007 - Declarative Programming.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-008 - Procedural Programming.md","CSF-008 - Procedural Programming.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-009 - Object-Oriented Programming (OOP).md","CSF-009 - Object-Oriented Programming (OOP).md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-010 - Functional Programming.md","CSF-010 - Functional Programming.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-011 - Event-Driven Programming.md","CSF-011 - Event-Driven Programming.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-012 - Type Systems (Static vs Dynamic).md","CSF-012 - Type Systems (Static vs Dynamic).md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-013 - Strong vs Weak Typing.md","CSF-013 - Strong vs Weak Typing.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-014 - Compiled vs Interpreted Languages.md","CSF-014 - Compiled vs Interpreted Languages.md","2","2","False","","","False","False","False","False","NO"
"C:\ASK\MyWorkspace\sk-keys\dictionary\tier-1-foundations\CSF-cs-fundamentals\CSF-015 - Memory Management Models.md","CSF-015 - Memory Management Models.md","2","2","False","","","False","False","False","False","NO"
